Real,User,Sys,Algorithm,Iteration
0.55,2.94,0.11,NodeIterator,1
0.22,0.77,0.11,EdgeIterator,1
0.42,1.87,0.14,NodeIterator,2
0.23,0.71,0.16,EdgeIterator,2
0.47,2.57,0.12,NodeIterator,3
0.21,0.72,0.13,EdgeIterator,3
0.43,2.37,0.13,NodeIterator,4
0.21,0.74,0.11,EdgeIterator,4
0.46,2.29,0.16,NodeIterator,5
0.22,0.74,0.12,EdgeIterator,5
0.42,2.07,0.12,NodeIterator,6
0.21,0.71,0.13,EdgeIterator,6
0.47,2.46,0.12,NodeIterator,7
0.22,0.75,0.11,EdgeIterator,7
0.48,2.51,0.11,NodeIterator,8
0.22,0.76,0.12,EdgeIterator,8
0.48,2.53,0.17,NodeIterator,9
0.22,0.73,0.13,EdgeIterator,9
0.41,2.31,0.13,NodeIterator,10
0.21,0.73,0.13,EdgeIterator,10
0.44,2.38,0.12,NodeIterator,11
0.23,0.75,0.12,EdgeIterator,11
0.49,2.48,0.12,NodeIterator,12
0.21,0.72,0.14,EdgeIterator,12
0.47,2.30,0.14,NodeIterator,13
0.22,0.76,0.10,EdgeIterator,13
0.46,2.41,0.14,NodeIterator,14
0.22,0.74,0.12,EdgeIterator,14
0.42,2.18,0.11,NodeIterator,15
0.21,0.75,0.12,EdgeIterator,15
0.43,2.29,0.12,NodeIterator,16
0.21,0.71,0.14,EdgeIterator,16
0.45,2.04,0.13,NodeIterator,17
0.22,0.71,0.15,EdgeIterator,17
0.44,2.34,0.13,NodeIterator,18
0.22,0.72,0.13,EdgeIterator,18
0.42,2.32,0.12,NodeIterator,19
0.22,0.76,0.10,EdgeIterator,19
0.48,2.45,0.13,NodeIterator,20
0.23,0.78,0.10,EdgeIterator,20
0.48,2.48,0.11,NodeIterator,21
0.22,0.75,0.12,EdgeIterator,21
0.45,2.39,0.13,NodeIterator,22
0.22,0.73,0.13,EdgeIterator,22
0.43,2.18,0.11,NodeIterator,23
0.21,0.75,0.11,EdgeIterator,23
0.49,2.46,0.12,NodeIterator,24
0.23,0.76,0.12,EdgeIterator,24
0.43,2.00,0.12,NodeIterator,25
0.22,0.75,0.12,EdgeIterator,25
