Real,User,Sys,Algorithm,Iteration
37.08,5.24,4.59,Sync,1
30.68,28.85,1.82,Async,1
42.22,38.65,3.53,EdgeAsync,1
40.98,28.79,3.02,EtiledAsync,1
157.81,155.91,1.87,BlkdAsync,1
23.53,21.60,1.90,LabelProc,1
40.19,38.36,1.81,Serial,1
7.22,5.31,1.89,Sync,2
30.60,28.66,1.92,Async,2
42.15,38.54,3.58,EdgeAsync,2
40.45,28.31,3.03,EtiledAsync,2
157.56,155.71,1.82,BlkdAsync,2
23.36,21.57,1.77,LabelProc,2
40.09,38.23,1.83,Serial,2
7.18,5.19,1.97,Sync,3
30.59,28.78,1.80,Async,3
42.14,38.44,3.67,EdgeAsync,3
40.40,28.70,2.81,EtiledAsync,3
157.21,155.31,1.88,BlkdAsync,3
22.83,20.98,1.83,LabelProc,3
39.33,37.47,1.84,Serial,3
7.06,5.09,1.96,Sync,4
29.99,28.04,1.93,Async,4
41.70,37.98,3.70,EdgeAsync,4
40.30,28.51,2.97,EtiledAsync,4
157.30,155.33,1.94,BlkdAsync,4
23.28,21.39,1.87,LabelProc,4
39.05,37.16,1.87,Serial,4
7.14,5.24,1.88,Sync,5
30.56,28.75,1.78,Async,5
41.86,38.28,3.56,EdgeAsync,5
40.05,28.42,2.98,EtiledAsync,5
156.96,155.11,1.83,BlkdAsync,5
22.93,21.09,1.82,LabelProc,5
39.66,37.69,1.95,Serial,5
7.23,5.34,1.87,Sync,6
30.02,28.18,1.82,Async,6
42.33,38.59,3.72,EdgeAsync,6
44.49,29.06,3.31,EtiledAsync,6
156.87,154.91,1.93,BlkdAsync,6
22.75,20.86,1.86,LabelProc,6
39.94,38.12,1.80,Serial,6
7.13,5.10,2.01,Sync,7
30.00,28.12,1.86,Async,7
41.87,38.06,3.78,EdgeAsync,7
44.77,29.34,3.36,EtiledAsync,7
157.26,155.34,1.90,BlkdAsync,7
23.44,21.59,1.82,LabelProc,7
39.55,37.52,2.01,Serial,7
7.26,5.34,1.90,Sync,8
30.53,28.55,1.96,Async,8
41.90,38.17,3.69,EdgeAsync,8
44.29,28.58,3.32,EtiledAsync,8
157.55,155.59,1.94,BlkdAsync,8
23.13,21.19,1.91,LabelProc,8
39.45,37.49,1.94,Serial,8
7.07,5.25,1.80,Sync,9
30.42,28.53,1.87,Async,9
42.80,38.99,3.78,EdgeAsync,9
43.69,28.37,3.39,EtiledAsync,9
157.12,155.23,1.86,BlkdAsync,9
23.29,21.46,1.80,LabelProc,9
39.86,37.91,1.93,Serial,9
7.09,5.30,1.76,Sync,10
30.69,28.73,1.94,Async,10
43.02,39.48,3.52,EdgeAsync,10
40.97,28.67,3.02,EtiledAsync,10
157.21,155.31,1.87,BlkdAsync,10
22.89,20.95,1.92,LabelProc,10
39.44,37.45,1.98,Serial,10
7.11,5.21,1.88,Sync,11
30.06,28.25,1.79,Async,11
42.32,38.53,3.76,EdgeAsync,11
40.48,28.26,2.99,EtiledAsync,11
158.88,157.09,1.76,BlkdAsync,11
23.53,21.50,2.00,LabelProc,11
38.84,36.96,1.86,Serial,11
7.14,5.31,1.81,Sync,12
30.52,28.65,1.84,Async,12
41.99,38.30,3.67,EdgeAsync,12
40.29,28.29,2.98,EtiledAsync,12
158.19,156.19,1.98,BlkdAsync,12
22.78,20.92,1.83,LabelProc,12
39.19,37.30,1.87,Serial,12
7.18,5.33,1.83,Sync,13
30.47,28.55,1.90,Async,13
42.12,38.36,3.74,EdgeAsync,13
40.05,28.14,3.03,EtiledAsync,13
156.78,154.87,1.88,BlkdAsync,13
23.37,21.46,1.88,LabelProc,13
39.09,37.17,1.90,Serial,13
7.19,5.28,1.89,Sync,14
30.91,29.02,1.87,Async,14
41.89,38.21,3.66,EdgeAsync,14
40.84,28.92,3.03,EtiledAsync,14
157.46,155.59,1.85,BlkdAsync,14
23.13,20.96,2.15,LabelProc,14
39.95,37.98,1.95,Serial,14
7.07,5.24,1.81,Sync,15
30.24,28.34,1.88,Async,15
42.19,38.34,3.83,EdgeAsync,15
40.79,28.97,3.07,EtiledAsync,15
158.03,156.02,1.99,BlkdAsync,15
23.16,21.22,1.92,LabelProc,15
39.57,37.64,1.90,Serial,15
7.21,5.34,1.84,Sync,16
30.80,28.81,1.96,Async,16
42.13,38.29,3.82,EdgeAsync,16
41.97,28.15,3.35,EtiledAsync,16
156.66,154.57,2.06,BlkdAsync,16
23.19,21.29,1.88,LabelProc,16
39.35,37.49,1.84,Serial,16
7.15,5.20,1.92,Sync,17
30.05,28.20,1.83,Async,17
42.47,38.80,3.64,EdgeAsync,17
42.08,28.40,3.12,EtiledAsync,17
157.33,155.39,1.92,BlkdAsync,17
23.44,21.48,1.94,LabelProc,17
39.15,37.21,1.91,Serial,17
7.12,5.15,1.95,Sync,18
30.63,28.70,1.91,Async,18
42.54,38.94,3.58,EdgeAsync,18
42.50,29.16,2.92,EtiledAsync,18
156.91,155.05,1.84,BlkdAsync,18
23.25,21.39,1.84,LabelProc,18
39.87,38.12,1.73,Serial,18
7.19,5.34,1.82,Sync,19
29.83,27.96,1.85,Async,19
41.85,38.08,3.75,EdgeAsync,19
42.17,28.72,3.22,EtiledAsync,19
156.93,154.90,2.00,BlkdAsync,19
23.09,21.14,1.93,LabelProc,19
39.40,37.56,1.81,Serial,19
7.14,5.29,1.83,Sync,20
30.62,28.76,1.84,Async,20
42.33,38.55,3.76,EdgeAsync,20
41.76,28.42,3.21,EtiledAsync,20
157.28,155.27,1.99,BlkdAsync,20
22.95,21.12,1.81,LabelProc,20
39.89,38.03,1.84,Serial,20
7.19,5.22,1.94,Sync,21
30.57,28.59,1.95,Async,21
41.96,38.12,3.82,EdgeAsync,21
41.37,28.47,2.91,EtiledAsync,21
156.90,154.89,1.99,BlkdAsync,21
22.76,20.83,1.91,LabelProc,21
39.72,37.79,1.91,Serial,21
7.24,5.33,1.89,Sync,22
30.39,28.42,1.94,Async,22
42.18,38.19,3.96,EdgeAsync,22
41.62,28.77,3.05,EtiledAsync,22
157.35,155.52,1.81,BlkdAsync,22
23.12,21.23,1.87,LabelProc,22
39.40,37.57,1.80,Serial,22
7.39,5.48,1.89,Sync,23
30.83,29.01,1.79,Async,23
41.96,38.21,3.73,EdgeAsync,23
41.82,28.56,3.14,EtiledAsync,23
157.50,155.68,1.79,BlkdAsync,23
23.36,21.46,1.88,LabelProc,23
40.02,38.23,1.77,Serial,23
7.25,5.35,1.88,Sync,24
30.54,28.59,1.92,Async,24
41.82,38.04,3.75,EdgeAsync,24
41.00,28.11,3.09,EtiledAsync,24
157.10,155.28,1.80,BlkdAsync,24
23.20,21.31,1.86,LabelProc,24
39.52,37.69,1.80,Serial,24
7.11,5.22,1.87,Sync,25
30.26,28.39,1.84,Async,25
41.73,38.06,3.64,EdgeAsync,25
41.74,29.08,3.14,EtiledAsync,25
157.39,155.60,1.77,BlkdAsync,25
23.38,21.44,1.91,LabelProc,25
39.62,37.71,1.89,Serial,25
