Real,User,Sys,Algorithm,Iteration
3.81,24.20,0.42,Sync,1
2.23,15.18,0.31,Sync,2
2.22,15.05,0.31,Sync,3
2.29,15.80,0.34,Sync,4
2.30,15.71,0.43,Sync,5
2.46,17.38,0.34,Sync,6
2.79,17.89,0.29,Sync,7
2.35,16.28,0.38,Sync,8
2.50,17.80,0.27,Sync,9
2.44,17.07,0.39,Sync,10
2.53,18.00,0.34,Sync,11
3.07,20.20,0.46,Sync,12
2.88,18.72,0.33,Sync,13
2.42,17.00,0.36,Sync,14
2.75,17.54,0.33,Sync,15
2.82,18.56,0.37,Sync,16
2.62,18.84,0.38,Sync,17
2.93,19.50,0.36,Sync,18
2.59,18.54,0.31,Sync,19
2.51,18.00,0.33,Sync,20
2.57,18.27,0.28,Sync,21
2.40,17.17,0.34,Sync,22
2.64,16.21,0.44,Sync,23
2.66,16.98,0.37,Sync,24
2.98,20.11,0.33,Sync,25
