Real,User,Sys,Algorithm,Iteration
14.84,52.31,0.88,Connected,1
7.58,46.87,0.70,Connected,2
7.46,46.51,0.83,Connected,3
10.05,52.28,0.92,Connected,4
7.56,46.88,0.73,Connected,5
9.18,50.23,0.71,Connected,6
7.54,46.87,0.70,Connected,7
7.24,46.08,0.80,Connected,8
9.84,51.65,0.72,Connected,9
7.69,47.16,0.71,Connected,10
7.54,47.20,0.67,Connected,11
9.84,51.84,0.72,Connected,12
10.41,52.56,0.79,Connected,13
7.46,46.52,0.68,Connected,14
7.66,47.05,0.79,Connected,15
7.22,45.96,0.77,Connected,16
7.58,46.90,0.73,Connected,17
7.74,47.90,0.57,Connected,18
7.52,46.79,0.77,Connected,19
9.82,51.57,0.78,Connected,20
7.90,47.43,0.85,Connected,21
7.64,46.95,0.73,Connected,22
7.46,46.90,0.65,Connected,23
7.55,46.80,0.71,Connected,24
7.09,46.04,0.79,Connected,25
